female_id,age_days,body_mass_mg,site,collection_date,collector,treatment,eggs_laid,eggs_hatched
141,45,77.34721296,Site_C,02/07/2023,Jones,Control,44,39
17,55,61.19347954,Site-C,11/06/2023,Jones,Control,42,35
78,26,78.5613445,Site_B,14/05/2023,Garcia,Low_dose,NA,NA
53,41,82.85236967,Site_A,03/06/2023,Garcia,Control,50,43
8,33,92.71080089,Site C,16/08/2023,Garcia,High_dose,32,9
192,36,52.99454511,Site A,10/05/2023,Jones,High_dose,22,9
134,26,79.974339,Site_B,25/07/2023,Smith,Low_dose,43,30
169,25,59.78475524,Site_B,24/06/2023,Garcia,Control,NA,NA
103,49,NA,Site_B,27/07/2023,Garcia,Medium_dose,49,29
184,64,-92.99733887,Site C,04/08/2023,Smith,High_dose,34,11
51,44,65.87446009,Site-B,27/06/2023,Jones,Medium_dose,36,15
127,35,78.77857095,Site_A,22/08/2023,Jones,Medium_dose,37,15
100,87,76.04678873,Site_B,25/05/2023,NA,High_dose,48,16
174,15,83.42721393,Site_C,26/07/2023,Jones,Low_dose,70,45
147,73,62.86933009,Site_A,04/06/2023,Smith,medium_dose,34,15
139,73,91.94911809,Site_C,09/08/2023,Jones,Medium_dose,54,23
172,83,81.12201231,Site_C,25/06/2023,Smith,High_dose,37,16
171,36,74.83913942,site_b,05/05/2023,Smith,Medium_dose,43,24
113,61,80.80688882,Site_B,27/06/2023,Smith,Control,45,37
56,54,NA,Site B,18/05/2023,NA,high_dose,25,11
42,35,5.791174164,Site_A,24/07/2023,Jones,low_dose,33,18
106,67,86.70691499,Site_A,08/05/2023,Garcia,Low_dose,60,44
31,57,80.9634707,Site_C,07/08/2023,Garcia,Medium_dose,45,23
54,51,86.37755087,site_b,31/05/2023,Smith,Low_dose,43,29
161,77,84.62663578,Site_B,24/07/2023,Smith,control,60,52
9,44,81.70745329,site_b,13/06/2023,NA,Control,44,37
131,29,64.53968705,Site_C,20/05/2023,Smith,Medium_dose,NA,NA
180,24,80.83068707,site_c,19/07/2023,Smyth,High_dose,15,3
80,45,52.11531518,Site C,31/07/2023,Jones,High_dose,27,9
178,85,70.64586691,Site_A,07/06/2023,Jones,Low_dose,58,37
158,33,68.33575005,Site_A,16/07/2023,Garcia,Low_dose,37,30
153,44,61.91573968,site_c,27/08/2023,Jones,Control,37,41
195,72,64.03490544,Site_B,08/08/2023,Garcia,Medium_dose,32,10
105,73,79.58351498,Site_C,04/08/2023,Jones,control,71,59
32,53,72.49198332,Site C,01/08/2023,Smith,High_dose,17,5
16,28,59.90871419,Site B,23/05/2023,NA,High_dose,25,8
27,72,76.04545152,site_a,10/08/2023,Garcia,Medium_dose,46,20
114,78,64.82111692,Site_A,28/07/2023,Garcia,Low_dose,48,30
84,61,84.16896381,Site_C,31/07/2023,Garci,high_dose,31,8
14,26,61.37921026,Site_A,05/06/2023,Smith,low_dose,20,12
82,26,44.38763268,Site_B,06/07/2023,Smith,Low_dose,NA,NA
71,65,68.42447022,Site_A,11/05/2023,Smith,Medium_dose,27,12
122,63,90.0092471,Site_B,07/08/2023,NA,Low_dose,47,33
154,51,75.94141599,Site_C,25/05/2023,Smith,low_dose,47,32
194,82,76.48370009,Site_B,11/06/2023,NA,Low_dose,58,38
145,29,70.72854283,Site_A,29/07/2023,Jones,Control,NA,NA
44,58,72.76973217,Site_A,08/08/2023,Garcia,HIGH_DOSE,38,11
102,59,NA,Site-C,26/05/2023,Garcia,Low_dose,59,44
160,20,80.50160184,Site B,23/06/2023,Garcia,High_dose,26,9
189,90,NA,site_b,04/07/2023,NA,control,48,40
93,58,73.89695092,Site_A,02/06/2023,Garcia,Control,39,33
69,70,76.904482,Site_C,25/05/2023,Smith,Control,53,50
117,27,63.06828669,site_b,06/07/2023,Garcia,Control,NA,NA
120,65,73.83704888,Site C,17/05/2023,Smyth,High_dose,27,4
63,33,81.56044292,site_c,07/05/2023,Jones,medium_dose,31,17
77,43,81.77425594,Site_B,23/06/2023,Jones,control,47,39
7,62,68.8760849,Site_A,18/05/2023,Garcia,medium_dose,36,18
119,85,91.33111768,Site-B,22/05/2023,Garcia,medium_dose,52,30
191,67,80.94077883,Site_C,16/08/2023,Garcia,Medium_dose,41,17
164,46,77.93513825,Site_A,20/05/2023,Garcia,High_dose,28,6
23,60,83.6388263,Site_B,03/07/2023,Smith,Medium_dose,51,16
21,26,66.28607542,Site_A,15/07/2023,Garcia,control,NA,NA
97,67,80.99999432,Site_C,29/08/2023,Jones,Control,57,49
18,62,107.1055735,site_a,08/07/2023,Smith,Low_dose,49,26
48,23,53.08076204,Site B,15/05/2023,Garci,High_dose,18,8
36,44,76.63547915,site_b,17/08/2023,NA,High_dose,28,9
148,30,64.3937989,Site_C,23/06/2023,Garcia,High_dose,21,6
38,40,NA,Site_B,02/05/2023,Smith,Low_dose,39,31
1,50,84.42709395,Site_B,12/07/2023,Smith,Control,51,42
30,46,68.25254331,Site_A,12/07/2023,Jones,Low_dose,31,21
94,73,NA,Site_A,06/06/2023,Garcia,Low_dose,52,41
34,82,86.52259635,Site-C,22/07/2023,Jones,Low_dose,46,32
142,52,59.16269087,Site_A,26/06/2023,Jones,Low_dose,39,28
75,73,78.72485714,Site_A,11/05/2023,Garcia,Medium_dose,60,30
58,49,81.16158959,Site_B,12/08/2023,NA,Low_dose,53,32
170,50,88.09396247,Site-A,24/08/2023,Smith,Low_dose,50,41
49,32,67.6705382,Site_A,14/08/2023,Garcia,control,36,28
104,35,86.30166818,Site A,13/06/2023,Smith,High_dose,30,11
108,86,NA,site_c,08/06/2023,Garci,High_dose,41,12
72,36,70.91877755,Site C,07/07/2023,Garci,High_dose,25,10
125,64,108.7148161,Site_A,27/08/2023,Garcia,Control,65,58
